contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,state_code,county,write_ins,master_lookup,chp,candidate_map,parser,idparser,rcv_type,num_winners,path
Cambridge City Council 2001,Cambridge,MA,2001,11/06/2001,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2001/Council - Wednesday/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2001/Council - Wednesday/*.PRM
Cambridge City Council 2003,Cambridge,MA,2003,11/04/2003,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2003/Council/*/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2003/Council/*/*.[pPW][rRE][mMD]
Cambridge School Committee 2003,Cambridge,MA,2003,11/04/2003,School Committee,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2003/School/school.chp,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2003/School/*/*.[pPW][rRE][mMD]
San Francisco District 1 2004,San Francisco,CA,2004,11/05/2004,District 1,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Ballots.txt
San Francisco District 11 2004,San Francisco,CA,2004,11/02/2004,District 11,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Ballots.txt
San Francisco District 2 2004,San Francisco,CA,2004,11/02/2004,District 2,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Ballots.txt
San Francisco District 3 2004,San Francisco,CA,2004,11/02/2004,District 3,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Ballots.txt
San Francisco District 5 2004,San Francisco,CA,2004,11/02/2004,District 5,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Ballots.txt
San Francisco District 7 2004,San Francisco,CA,2004,11/02/2004,District 7,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Ballots.txt
San Francisco District 9 2004,San Francisco,CA,2004,11/02/2004,District 9,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Ballots.txt
Cambridge City Council 2005,Cambridge,MA,2005,11/08/2005,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2005/Council/*/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2005/Council/*/*.[pP][rR][mM]
Cambridge School Committee 2005,Cambridge,MA,2005,11/08/2005,School Committee,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2005/School/*/*.chp,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2005/School/*/*.[pP][rR][mM]
San Francisco Assessor-Recorder 2005,San Francisco,CA,2005,11/08/2005,Assessor-Recorder,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Ballots.txt
San Francisco Treasurer 2005,San Francisco,CA,2005,11/08/2005,Treasurer,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Ballots.txt
Burlington Mayor 2006,Burlington,VT,2006,03/07/2006,Mayor,TRUE,FALSE,,,,,,,,burlington,,rcv_single_winner,1,Ballot_Images/Burlington/Burlington Mayor 2006.txt
San Francisco Board of Supervisors District 10 2006,San Francisco,CA,2006,11/07/2006,Board of Supervisors District 10,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Ballots.txt
San Francisco Board of Supervisors District 2 2006,San Francisco,CA,2006,11/07/2006,Board of Supervisors District 2,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D02-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D02-Ballots.txt
San Francisco Board of Supervisors District 4 2006,San Francisco,CA,2006,11/07/2006,Board of Supervisors District 4,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D04-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D04-Ballots.txt
San Francisco Board of Supervisors District 6 2006,San Francisco,CA,2006,11/07/2006,Board of Supervisors District 6,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D06-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D06-Ballots.txt
San Francisco Board of Supervisors District 8 2006,San Francisco,CA,2006,11/07/2006,Board of Supervisors District 8,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D08-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D08-Ballots.txt
Cambridge City Council 2007,Cambridge,MA,2007,11/06/2007,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2007/Council/*/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2007/Council/*/*.[pP][rR][mM]
Cambridge School Committee 2007,Cambridge,MA,2007,11/06/2007,School Committee,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2007/School/*/*.chp,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2007/School/*/*.[pP][rR][mM]
San Francisco Mayor 2007,San Francisco,CA,2007,11/06/2007,Mayor,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2007/MYR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2007/MYR-Ballots.txt
Pierce County Assessor - Treasurer 2008,Pierce County,WA,2008,11/04/2008,Assessor - Treasurer,TRUE,FALSE,,,,,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/Pierce County/Pierce County Assessor - Treasurer 2008 Ballot Image.txt
"Pierce County Council, District 2 2008",Pierce County,WA,2008,11/04/2008,Council District 2,TRUE,FALSE,,,,,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Pierce County/Pierce County Council, District No. 2 2008 Ballot Image.txt"
Pierce County Executive 2008,Pierce County,WA,2008,11/04/2008,Executive,TRUE,FALSE,,,,,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/Pierce County/Pierce County Executive 2008 Ballot Image.txt
San Francisco Board of Supervisors District 1 2008,San Francisco,CA,2008,11/04/2008,Board of Supervisors District 1,TRUE,FALSE,,"""06""","""075""",,,,,"partial(sf, '0000003')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 11 2008,San Francisco,CA,2008,11/04/2008,Board of Supervisors District 11,TRUE,FALSE,,"""06""","""075""",,,,,"partial(sf, '0000004')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 3 2008,San Francisco,CA,2008,11/04/2008,Board of Supervisors District 3,TRUE,FALSE,,"""06""","""075""",,,,,"partial(sf, '0000005')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 4 2008,San Francisco,CA,2008,11/04/2008,Board of Supervisors District 4,TRUE,FALSE,,"""06""","""075""",,,,,"partial(sf, '0000006')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 5 2008,San Francisco,CA,2008,11/04/2008,Board of Supervisors District 5,TRUE,FALSE,,"""06""","""075""",,,,,"partial(sf, '0000007')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 7 2008,San Francisco,CA,2008,11/04/2008,Board of Supervisors District 7,TRUE,FALSE,,"""06""","""075""",,,,,"partial(sf, '0000008')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 9 2008,San Francisco,CA,2008,11/04/2008,Board of Supervisors District 9,TRUE,FALSE,,"""06""","""075""",,,,,"partial(sf, '0000009')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
Cambridge City Council 2009,Cambridge,MA,2009,11/03/2009,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2009/Council/Final/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2009/Council/*/*.PRM
Burlington Mayor 2009,Burlington,VT,2009,03/03/2009,Mayor,TRUE,FALSE,,,,,,Ballot_Images/Burlington/2009 Burlington Mayor/*.chp,,prm,,rcv_single_winner,1,Ballot_Images/Burlington/2009 Burlington Mayor/*.PRM
Pierce County Auditor 2009,Pierce County,WA,2009,11/03/2009,Auditor,TRUE,FALSE,,,,,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/Pierce County/Pierce County Auditor 2009 Ballot Image.txt
Minneapolis BOE 2009,Minneapolis,MN,2009,11/06/2009,BOE,FALSE,,TRUE,,,,,,,minneapolis,,stv_fractional_ballot,2,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Board of Estimate and Taxation – At-Large – elect 2.xls.csv
Minneapolis Mayor 2009,Minneapolis,MN,2009,11/06/2009,Mayor,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Mayor.xls.csv
Minneapolis Park At Large 2009,Minneapolis,MN,2009,11/06/2009,Park At Large,FALSE,,TRUE,,,,,,,minneapolis,,stv_fractional_ballot,3,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Park and Recreation Board – At-Large – elect 3.xls.csv
Minneapolis Park District 1 2009,Minneapolis,MN,2009,11/06/2009,Park District 1,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 1.xls.csv
Minneapolis Park District 2 2009,Minneapolis,MN,2009,11/06/2009,Park District 2,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 2.xls.csv
Minneapolis Park District 3 2009,Minneapolis,MN,2009,11/06/2009,Park District 3,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 3.xls.csv
Minneapolis Park District 4 2009,Minneapolis,MN,2009,11/06/2009,Park District 4,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 4.xls.csv
Minneapolis Park District 5 2009,Minneapolis,MN,2009,11/06/2009,Park District 5,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 5.xls.csv
Minneapolis Park District 6 2009,Minneapolis,MN,2009,11/06/2009,Park District 6,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 6.xls.csv
Minneapolis Ward 1 2009,Minneapolis,MN,2009,11/06/2009,Ward 1,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 1.xls.csv
Minneapolis Ward 10 2009,Minneapolis,MN,2009,11/06/2009,Ward 10,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 10.xls.csv
Minneapolis Ward 11 2009,Minneapolis,MN,2009,11/06/2009,Ward 11,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 11.xls.csv
Minneapolis Ward 12 2009,Minneapolis,MN,2009,11/06/2009,Ward 12,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 12.xls.csv
Minneapolis Ward 13 2009,Minneapolis,MN,2009,11/06/2009,Ward 13,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 13.xls.csv
Minneapolis Ward 2 2009,Minneapolis,MN,2009,11/06/2009,Ward 2,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 2.xls.csv
Minneapolis Ward 3 2009,Minneapolis,MN,2009,11/06/2009,Ward 3,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 3.xls.csv
Minneapolis Ward 4 2009,Minneapolis,MN,2009,11/06/2009,Ward 4,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 4.xls.csv
Minneapolis Ward 5 2009,Minneapolis,MN,2009,11/06/2009,Ward 5,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 5.xls.csv
Minneapolis Ward 6 2009,Minneapolis,MN,2009,11/06/2009,Ward 6,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 6.xls.csv
Minneapolis Ward 7 2009,Minneapolis,MN,2009,11/06/2009,Ward 7,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 7.xls.csv
Minneapolis Ward 8 2009,Minneapolis,MN,2009,11/06/2009,Ward 8,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 8.xls.csv
Minneapolis Ward 9 2009,Minneapolis,MN,2009,11/06/2009,Ward 9,FALSE,,,,,,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 9.xls.csv
2010 City Auditor - Berkeley Nov 2010cam,Berkeley,CA,2010,11/02/2010,City Auditor,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_City Auditor - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 1 - Berkeley Nov 2010",Berkeley,CA,2010,11/02/2010,Member City Council District 1,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 1 - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 4 - Berkeley Nov 2010",Berkeley,CA,2010,11/02/2010,Member City Council District 4,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 4 - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 7 - Berkeley Nov 2010",Berkeley,CA,2010,11/02/2010,Member City Council District 7,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 7 - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 8 - Berkeley Nov 2010",Berkeley,CA,2010,11/02/2010,Member City Council District 8,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 8 - Berkeley_Nov 2010.txt"
2010 City Auditor - Oakland Nov 2010,Oakland,CA,2010,11/02/2010,City Auditor,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_City Auditor - Oakland_Nov 2010.txt"
2010 Mayor of Oakland Nov 2010,Oakland,CA,2010,11/02/2010,Mayor,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Mayor of Oakland_Nov 2010.txt"
"2010 Member, City Council, District 2 - Oakland Nov 2010",Oakland,CA,2010,11/02/2010,Member City Council District 2,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 2 - Oakland_Nov 2010.txt"
"2010 Member, City Council, District 4 - Oakland Nov 2010",Oakland,CA,2010,11/02/2010,Member City Council District 4,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 4 - Oakland_Nov 2010.txt"
"2010 Member, City Council, District 6 - Oakland Nov 2010",Oakland,CA,2010,11/02/2010,Member City Council District 6,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 6 - Oakland_Nov 2010.txt"
"2010 School Director, District 2 - Oakland Nov 2010",Oakland,CA,2010,11/02/2010,School Director District 2,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_School Director, District 2 - Oakland_Nov 2010.txt"
"2010 School Director, District 4 - Oakland Nov 2010",Oakland,CA,2010,11/02/2010,School Director District 4,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_School Director, District 4 - Oakland_Nov 2010.txt"
"2010 School Director, District 6 - Oakland Nov 2010",Oakland,CA,2010,11/02/2010,School Director District 6,TRUE,FALSE,,"""06""","""001""",,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_School Director, District 6 - Oakland_Nov 2010.txt"
San Francisco Board of Supervisors District 10 2010,San Francisco,CA,2010,11/02/2010,Board of Supervisors District 10,TRUE,FALSE,,"""06""","""075""",,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 10 Supervisors/BallotImage-D10.txt
San Francisco Board of Supervisors District 2 2010,San Francisco,CA,2010,11/02/2010,Board of Supervisors District 2,TRUE,FALSE,,"""06""","""075""",,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 2 Supervisors/BallotImage-D2.txt
San Francisco Board of Supervisors District 6 2010,San Francisco,CA,2010,11/02/2010,Board of Supervisors District 6,TRUE,FALSE,,"""06""","""075""",,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 6 Supervisors/BallotImage-D6.txt
San Francisco Board of Supervisors District 8 2010,San Francisco,CA,2010,11/02/2010,Board of Supervisors District 8,TRUE,FALSE,,"""06""","""075""",,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 8 Supervisors/BallotImage-D8.txt
