candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer,r21_percent,r21_count,r21_transfer,r22_percent,r22_count,r22_transfer,r23_percent,r23_count,r23_transfer
"Mazen, Nadeem A.",5.551,985.0,36.0,5.754,1021.0,0.0,5.758,1021.0,3.0,5.778,1024.0,2.0,5.793,1026.0,8.0,5.84,1034.0,5.0,5.872,1039.0,12.0,5.944,1051.0,15.0,6.03,1066.0,8.0,6.079,1074.0,21.0,6.211,1095.0,103.0,6.832,1198.0,66.0,7.221,1264.0,43.0,7.486,1307.0,35.0,7.775,1342.0,90.0,8.333,1432.0,61.0,8.751,1493.0,1.0,8.757,1494.0,37.0,9.081,1531.0,16.0,9.176,1547.0,5.0,9.206,1552.0,5.0,9.235,1557.0,246.0,10.986,1803.0,
"McGovern, Marc C.",6.69,1187.0,61.0,7.034,1248.0,0.0,7.038,1248.0,1.0,7.048,1249.0,1.0,7.057,1250.0,0.0,7.06,1250.0,3.0,7.081,1253.0,6.0,7.12,1259.0,4.0,7.144,1263.0,5.0,7.177,1268.0,21.0,7.311,1289.0,19.0,7.459,1308.0,25.0,7.615,1333.0,44.0,7.887,1377.0,32.0,8.163,1409.0,69.0,8.601,1478.0,109.0,9.302,1587.0,6.0,9.337,1593.0,63.0,9.823,1656.0,36.0,10.036,1692.0,20.0,10.155,1712.0,20.0,10.273,1732.0,243.0,12.034,1975.0,
"Cheung, Leland",13.476,2391.0,-616.0,10.004,1775.0,0.0,10.01,1775.0,0.0,10.016,1775.0,0.0,10.021,1775.0,0.0,10.025,1775.0,0.0,10.032,1775.0,0.0,10.038,1775.0,0.0,10.04,1775.0,0.0,10.047,1775.0,0.0,10.068,1775.0,0.0,10.123,1775.0,0.0,10.141,1775.0,0.0,10.167,1775.0,0.0,10.284,1775.0,0.0,10.329,1775.0,0.0,10.404,1775.0,0.0,10.404,1775.0,0.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.815,1775.0,
"Moree, Gregg J.",0.214,38.0,1.0,0.22,39.0,0.0,0.22,39.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Reeves, Kenneth E.",5.264,934.0,37.0,5.473,971.0,0.0,5.476,971.0,2.0,5.491,973.0,6.0,5.527,979.0,5.0,5.558,984.0,8.0,5.606,992.0,9.0,5.661,1001.0,5.0,5.69,1006.0,4.0,5.717,1010.0,18.0,5.831,1028.0,12.0,5.931,1040.0,11.0,6.004,1051.0,22.0,6.146,1073.0,19.0,6.327,1092.0,26.0,6.506,1118.0,38.0,6.776,1156.0,9.0,6.828,1165.0,-1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Williamson, James M.",0.417,74.0,2.0,0.428,76.0,0.0,0.429,76.0,0.0,0.429,76.0,2.0,0.44,78.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",3.951,701.0,37.0,4.159,738.0,0.0,4.162,738.0,3.0,4.181,741.0,2.0,4.195,743.0,1.0,4.202,744.0,14.0,4.284,758.0,2.0,4.298,760.0,9.0,4.35,769.0,7.0,4.392,776.0,9.0,4.453,785.0,7.0,4.517,792.0,29.0,4.69,821.0,30.0,4.874,851.0,22.0,5.058,873.0,59.0,5.423,932.0,-932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Smith, Jefferson R.",3.263,579.0,28.0,3.421,607.0,0.0,3.423,607.0,1.0,3.431,608.0,1.0,3.438,609.0,2.0,3.451,611.0,1.0,3.459,612.0,4.0,3.484,616.0,2.0,3.496,618.0,2.0,3.509,620.0,9.0,3.568,629.0,4.0,3.61,633.0,22.0,3.742,655.0,36.0,3.958,691.0,9.0,4.056,700.0,-700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mello, Gary W.",0.603,107.0,4.0,0.626,111.0,0.0,0.626,111.0,1.0,0.632,112.0,0.0,0.632,112.0,8.0,0.678,120.0,1.0,0.684,121.0,1.0,0.69,122.0,1.0,0.696,123.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Benzan, Dennis A.",7.332,1301.0,25.0,7.473,1326.0,1.0,7.484,1327.0,0.0,7.488,1327.0,2.0,7.503,1329.0,3.0,7.523,1332.0,2.0,7.539,1334.0,5.0,7.572,1339.0,16.0,7.664,1355.0,4.0,7.692,1359.0,48.0,7.981,1407.0,1.0,8.03,1408.0,19.0,8.152,1427.0,43.0,8.42,1470.0,28.0,8.679,1498.0,52.0,9.019,1550.0,65.0,9.466,1615.0,3.0,9.484,1618.0,142.0,10.44,1760.0,51.0,10.742,1811.0,18.0,10.849,1829.0,-54.0,10.529,1775.0,0.0,10.815,1775.0,
"Maher, David P.",8.251,1464.0,68.0,8.634,1532.0,0.0,8.64,1532.0,2.0,8.656,1534.0,0.0,8.661,1534.0,1.0,8.67,1535.0,3.0,8.692,1538.0,7.0,8.737,1545.0,5.0,8.767,1550.0,5.0,8.802,1555.0,17.0,8.917,1572.0,11.0,9.028,1583.0,20.0,9.158,1603.0,26.0,9.33,1629.0,68.0,9.832,1697.0,44.0,10.131,1741.0,94.0,10.756,1835.0,-60.0,10.404,1775.0,0.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.815,1775.0,
"Von Hoffmann, Kristen Lane",2.367,420.0,20.0,2.48,440.0,0.0,2.481,440.0,0.0,2.483,440.0,0.0,2.484,440.0,5.0,2.513,445.0,10.0,2.571,455.0,7.0,2.613,462.0,7.0,2.653,469.0,1.0,2.66,470.0,8.0,2.711,478.0,7.0,2.766,485.0,29.0,2.936,514.0,-514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"House, Janneke Ann",2.311,410.0,19.0,2.418,429.0,0.0,2.419,429.0,0.0,2.421,429.0,0.0,2.422,429.0,2.0,2.434,431.0,2.0,2.447,433.0,1.0,2.454,434.0,3.0,2.472,437.0,2.0,2.485,439.0,8.0,2.535,447.0,4.0,2.572,451.0,-451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mirza, Mushtaque A.",1.601,284.0,5.0,1.629,289.0,0.0,1.63,289.0,0.0,1.631,289.0,5.0,1.66,294.0,0.0,1.661,294.0,3.0,1.679,297.0,3.0,1.697,300.0,10.0,1.753,310.0,7.0,1.794,317.0,7.0,1.838,324.0,-324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Lee, James",0.513,91.0,10.0,0.569,101.0,1.0,0.575,102.0,0.0,0.576,102.0,0.0,0.576,102.0,3.0,0.593,105.0,1.0,0.599,106.0,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",6.16,1093.0,74.0,6.577,1167.0,0.0,6.581,1167.0,1.0,6.591,1168.0,3.0,6.611,1171.0,1.0,6.62,1172.0,2.0,6.635,1174.0,1.0,6.645,1175.0,4.0,6.669,1179.0,13.0,6.747,1192.0,10.0,6.818,1202.0,6.0,6.889,1208.0,34.0,7.096,1242.0,38.0,7.331,1280.0,43.0,7.665,1323.0,44.0,7.955,1367.0,102.0,8.61,1469.0,10.0,8.669,1479.0,58.0,9.117,1537.0,16.0,9.212,1553.0,22.0,9.342,1575.0,9.0,9.396,1584.0,334.0,11.687,1918.0,
"Yarden, Elie",0.575,102.0,1.0,0.581,103.0,0.0,0.581,103.0,0.0,0.581,103.0,2.0,0.593,105.0,7.0,0.633,112.0,5.0,0.661,117.0,1.0,0.667,118.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Peden, Ronald",0.276,49.0,0.0,0.276,49.0,0.0,0.276,49.0,3.0,0.293,52.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",8.212,1457.0,24.0,8.347,1481.0,0.0,8.352,1481.0,7.0,8.397,1488.0,0.0,8.401,1488.0,2.0,8.416,1490.0,3.0,8.438,1493.0,7.0,8.483,1500.0,0.0,8.485,1500.0,2.0,8.502,1502.0,22.0,8.644,1524.0,11.0,8.754,1535.0,8.0,8.815,1543.0,18.0,8.941,1561.0,42.0,9.287,1603.0,43.0,9.578,1646.0,34.0,9.847,1680.0,19.0,9.958,1699.0,105.0,10.701,1804.0,55.0,11.027,1859.0,-84.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.815,1775.0,
"vanBeuzekom, Minka Y.",4.932,875.0,64.0,5.292,939.0,1.0,5.301,940.0,0.0,5.304,940.0,2.0,5.318,942.0,3.0,5.337,945.0,6.0,5.375,951.0,9.0,5.429,960.0,11.0,5.492,971.0,11.0,5.558,982.0,22.0,5.695,1004.0,17.0,5.823,1021.0,57.0,6.159,1078.0,76.0,6.61,1154.0,27.0,6.842,1181.0,85.0,7.367,1266.0,139.0,8.235,1405.0,3.0,8.253,1408.0,68.0,8.755,1476.0,45.0,9.022,1521.0,17.0,9.123,1538.0,14.0,9.206,1552.0,-1552.0,0.0,0.0,
"Vasquez, Luis",1.488,264.0,9.0,1.539,273.0,0.0,1.54,273.0,0.0,1.541,273.0,2.0,1.553,275.0,4.0,1.576,279.0,2.0,1.588,281.0,4.0,1.612,285.0,4.0,1.635,289.0,4.0,1.658,293.0,-293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Phillips, Lesley Rebecca",0.462,82.0,7.0,0.502,89.0,1.0,0.508,90.0,1.0,0.514,91.0,6.0,0.548,97.0,1.0,0.554,98.0,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.09,16.0,0.0,0.09,16.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Leslie, Logan Edward",2.841,504.0,10.0,2.897,514.0,1.0,2.904,515.0,1.0,2.912,516.0,2.0,2.925,518.0,1.0,2.931,519.0,0.0,2.933,519.0,6.0,2.969,525.0,1.0,2.975,526.0,11.0,3.04,537.0,5.0,3.074,542.0,2.0,3.102,544.0,12.0,3.176,556.0,13.0,3.259,569.0,-569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Carlone, Dennis J.",6.487,1151.0,25.0,6.628,1176.0,0.0,6.632,1176.0,0.0,6.636,1176.0,1.0,6.645,1177.0,8.0,6.693,1185.0,3.0,6.714,1188.0,3.0,6.735,1191.0,11.0,6.799,1202.0,25.0,6.945,1227.0,11.0,7.022,1238.0,12.0,7.129,1250.0,63.0,7.501,1313.0,33.0,7.709,1346.0,29.0,7.966,1375.0,50.0,8.292,1425.0,90.0,8.88,1515.0,6.0,8.915,1521.0,23.0,9.158,1544.0,7.0,9.2,1551.0,2.0,9.212,1553.0,6.0,9.247,1559.0,282.0,11.217,1841.0,
"Simmons, E. Denise",6.673,1184.0,49.0,6.949,1233.0,0.0,6.954,1233.0,2.0,6.969,1235.0,4.0,6.995,1239.0,6.0,7.032,1245.0,13.0,7.11,1258.0,7.0,7.154,1265.0,6.0,7.189,1271.0,0.0,7.194,1271.0,20.0,7.323,1291.0,13.0,7.437,1304.0,25.0,7.593,1329.0,47.0,7.881,1376.0,16.0,8.065,1392.0,63.0,8.467,1455.0,76.0,8.974,1531.0,3.0,8.991,1534.0,467.0,11.869,2001.0,-226.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.529,1775.0,0.0,10.815,1775.0,
exhaust,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,0.0,22.0,9.0,0.0,31.0,7.0,0.0,38.0,11.0,0.0,49.0,11.0,0.0,60.0,4.0,0.0,64.0,12.0,0.0,76.0,37.0,0.0,113.0,95.0,0.0,208.0,31.0,0.0,239.0,45.0,0.0,284.0,199.0,0.0,483.0,75.0,0.0,558.0,124.0,0.0,682.0,0.0,0.0,682.0,202.0,0.0,884.0,0.0,0.0,884.0,0.0,0.0,884.0,0.0,0.0,884.0,447.0,0.0,1331.0,
colsum,99.99999999999999,17743.0,0.0,100.0,17743.0,0.0,100.0,17743.0,0.0,99.999,17743.0,0.0,99.99799999999999,17743.0,0.0,99.99999999999997,17743.0,0.0,99.99900000000001,17743.0,0.0,100.002,17743.0,0.0,99.999,17743.0,0.0,99.998,17743.0,0.0,100.00000000000003,17743.0,0.0,100.00200000000001,17743.0,0.0,99.99900000000001,17743.0,0.0,99.99900000000001,17743.0,0.0,99.999,17743.0,0.0,100.00100000000002,17743.0,0.0,100.00099999999999,17743.0,0.0,99.99999999999999,17743.0,0.0,100.002,17743.0,0.0,100.00200000000001,17743.0,0.0,100.003,17743.0,0.0,100.002,17743.0,0.0,99.999,17743.0,
